사용자,평점,댓글 내용
정덤보,2.5,"김선호 배우의 영화 데뷔작으로 화제를 모은 <귀공자>는 귀공자 캐릭터의 잔혹한 소개로 막을 엽니다.
박훈정 감독의 핏빛 액션극에 멀끔한 착장과 인상으로 등장한 김선호는 곧바로 캐릭터를 소화해냅니다.

추격전이 중점이 되기도 하고 쫓기게 되는 인물의 배경이 극의 발판으로 깔리기 때문에 초반부의 대부분이 강태주 배우가 맡은 마르코 역에 할애됩니다.
정보 제공도 제한적이기 때문에 주로 마르코 역의 시점에서 전개가 되어서 관객이 마르코 역에 몰입하게끔 각본이 짜여있고요.
(그래서인지 전반적으로 원제인 <슬픈 열대>가 더 어울려보이기도 하네요)

주요 소재인 ‘코피노’는 후반부(스포성이라 자세한 설명은 삼가)를 위해 기능하는 장치인데, 꼭 코피노였어야 할 당위성이 부족해서 편리성을 취해보이는 단점이 있습니다.
또한, 영화 내내 코피노에 대한 비하적 표현이 잦아서 불편함을 초래하기도 하고요.

박훈정 감독의 연출 답게 피칠갑 액션이 극악무도하게 벌어지는데 이번에 액션 연출은 고문포르노에 가까웠던 <VIP>보다 <마녀>시리즈의 그것과 비슷합니다.
초인적 설정은 뺐지만 ‘존윅’ 뺨치는 만화적인 캐릭터 설정으로 액션씬이 연출되거든요.

사실 이 영화의 주요 강점 혹은 매력은 캐릭터 코미디입니다.
메인 타이틀롤인 귀공자 캐릭터가 그 점이 가장 두드러집니다.

등장할 때는 음료를 마시면서 등장한다거나 퇴장할 때는 용모를 단정하는 등 캐릭터 설정이 확실하죠.
고난도의 액션을 소화하기도 하지만 무거운 상황에 반하는 애티듀드 등으로 대다수의 코미디를 담당하기도 하며 영화의 톤앤무드 자체로 봐도 무방하고요.
소년성과 남성성이 공존하는 김선호 배우의 캐스팅은 매우 적격해보이고 이질적이지 않게 첫 스크린 데뷔작에서 톤앤무드를 조성해내 성공적인 데뷔식으로 이끌어냅니다.

다음으로 가장 눈에 띄는 배우는 김강우 배우입니다.
<돈의 맛>의 주영작 캐릭터 등을 제외하면 크게 눈에 띄는 배역을 만나지 못했던 김강우 배우는 이번에 극악무도하고 욕심으로 뒤틀린 한이사 역을 맡으면서 딱 맞는 옷을 입은 것 같은 연기로 강한 인상을 남겼습니다.

이야기에 필요한 발판을 깔아둔 후 러닝타임의 50분이 되는 지점에서 마르코 역과 귀공자 역이 재회하면서 극이 본격적으로 전개됩니다.

총격전과 카체이싱, 육탄전 등 추격전이 펼쳐지고 80분이 되는 지점에서 윤주역의 대사를 빌어 친절하게 극의 흐름을 정리해주는데요.
이렇게 중요한 정보를 제공하는데 있어 <마녀>와 같이 크게 고민 하지 않고 인물의 대사를 빌려 설명하는 식의 작법은 영화를 게을러보이게 합니다.

후반부에 등장하는 반전은 극 전체를 허탈하게 만들어서 의구심이 들기도 하고요.

엔딩 이후 거의 바로 쿠키 영상이 있는데 장난스러운 연출이라 특정 캐릭터의 심각성을 허탈하게 만들어보여서 영화 스스로가 뻘한 웃음으로 막을 내리게 됩니다.

 한 줄 평 : 피칠갑 액션도 배우의 열연도 소재에 대한 태도에도 곳곳에 심어진 뻘한 장난기"
라따구리,2,SNL 코리아 호스트로 나온 김선호
Pacific_Rim👀,1.5,훈정이형 이런식이면 곤란해ㅠㅠ 더이상 믿고 볼수 없잖어..
포뇨사스케스키,1.5,"귀공자 : “자, 이제 누가 귀공자라고?”"
지은이,1,#230621 #LL #3
장재희,2,필리핀 사람이나까… 많이 실망했음. 코피노 이야기 많이 있는데… 왜 이렇게 나쁜 아이디어만 나오고 로케이션도 왜 태국(?)에 골랐고… 엑션만 집중하는 것 같아요 ㅠㅠ 실망. 실망.
peanutjhy,2,"너 이런거 못 보잖냐
뭐한다고 잔인한 영화를

그냥 20분 일찍 나와서 스파이더맨 봤으면 좀 좋아

감독님 그냥 마녀에 전념하실 생각은 없나요?

영화 이렇게 만들면 화가 나요"
선우박,2.5,프로라서 다 봤다
단발의신사,2,긴장감 없는 이도 저도 아닌 보급형 액션물
김두영,1.5,각계각층의 인물들의 똑같은 욕을 하는 모습이 참 후져보였는데 물론 의도된 후짐이겠지요? 세상에…
유티지,2.5,김선호가 나올 때만 맛있다
땅콩,1,"너무유치하다 ㅜㅜ
개연성도 개판.

신세계하나로 너무 오래버티신다..."
모아나,2.5,"김선호 존잘!!!!! 김선호 재밌는 배우네요 얼굴이 대유잼🫶🏻
무대인사로 실물영접까지 해서 기분째져,,, 존잘ㅜㅜㅜㅜ

-2023.06.18(일) 우리동네cgv"
Unknown,2,"박훈정만큼 남미새가 될 자신은 없다..
마지막 액션씬은 인정하기 싫지만 내 취향"
김희진,2,"글쎄,, 강태주라는 배우가 정말 매력적이긴 함."
댕청미,2.5,"일반인 버전 마녀1
킬링타임 용은 된다"
박현욱,2.5,2023년 06월 16일
영화구름,2.5,"씹다 보니 조금씩 새어나오는 단물, 묘한 중독성을 지녔네"
Sehan Kim,2,"이제 박훈정은 영화를 자기 꼴리는대로 만드는듯
김강우 김선호 연기는 괜찮은데 이야기가 영 아니올시다 다"
ElinKim,2.5,김선호의 단독쇼
1castle,2.5,"답습하는 이야기 구성
+이도저도 아닌 개그 붙이기"
No.1 Jun K,2,"박훈정 감독은 이제 막가기로 작정했구나!
오히려 말도 안되는 캐릭터인 김선호가 살았다고 생각"
내성적인 윤도치🦔,2.5,"박훈정 감독님의 필모그래피를 한데 뒤섞으면 '귀공자'가 탄생한다.

- CGV 회원 시사회 관람 (23.06.16)"
김동현,2.5,웃으러 간 거 아닌데 웃기기만 하다
아리토,2,"<귀공자 a.k.a 마녀3/신세계2> 요약

내가 누군지 궁금해? 잠깐만..
네가 누군지 궁금해? 잠깐만…
아 진짜 조금만 더 기다려봐

- 앞으로 각색 정도만 참여하시는게 어떠실지"
Jaemin Bae,2,철지난 액션만화 보는 줄
신겟타,2,뭘 하고 싶었던 걸까?
Nn,2.5,"어떤 것에 대한 혐오를 적나라하게 다 보여주고
실은 주인공도 그렇다, 그게 내가 보여주고자 했던 역설이었다
라고 하면 다 용서가 되는 걸까?
이 감독은 전개방식을 매번 왜 이런식으로 하는 걸까.
아니 생각해보면 좋거나 호의적이면 안되는 나쁜행동에 대해 과하게 표현해놓고(심지어 웃음코드로 활용까지 하니) 뒷수습을 이렇게 하는 게 우리나라 영화 종특이었나.
예전엔 영화를 다 보고난 다음에 평가하는데 이런 요소들이 영향을 주지 않았지만
요즘은 영화를 보는 중 이런 씬들을 보면 생각이 많아지다보니 영화에 집중하기가 어렵다."
심야할인,2,역배만 노리니 중간이 없다.
Daydreamer,2.5,"잘 이끌어가던 긴장감을 후반에 너무 풀어준다.
결말도 좀 더 진중한 내용이였음 좋았을 텐데...
너무 얕고 넓은 대중을 타겟으로 하다보니 이도 저도 아니게 된 듯 하다.
추가로 대사가 뭉게지는게 더러 있어 안들린다."
소우,2.5,아 코카콜라 마시고 싶네
창개구리,2.5,대사가 적을 수록 높아지는 평타는 치는 박훈정 유니버스
경민,2.5,예고편 봤는데 이런 역할에 김선호 마스크 개잘어울림 ㅋㅋㅋㅋ 김강우도. 솔직히 독보적이긴 함 왜 자꾸 캐스팅되는지는 알겠음 ㅋㅋ
아아,N/A,"김강우 배우님 흥행하는거 좀 보고싶음 나는....

근데 이 영화 예고편 보니까
평범한 인간들이 나오는 마녀1일거 같음"
ZelKun,N/A,믿고보는 김강우(?) 인데 별로 안땡기는건 왜죠
토나리노 토토로,2.5,적어도 김선호의 캐릭터 하나만은 최고다.
한송두송세송네송,2.5,김선호.....................................
지민,2.5,김선호 잘생김
남자배용현,3,조금 조악한 영화
찬미,1.5,"이 지루한 추격을 한 시간을 해...? 감독님. 제가 나름 작품들 다 챙겨보는데, 진짜 이러시면 나 섭섭해!"
rorty,4,주절주절 재밌네요
오몽,1,무슨 내용인지 모르겠다
짬타이거사육사,1.5,그놈의 잡종 벤츠 프로
..,3.5,박훈정 특유의 액션신 마음에 들었어요
구맹꽁,2.5,킬링 타임 도파민
사문난적,3.5,"대놓고 코미디 노린 것 같긴 함
삼각 구도의 기본은 함"
Gamjamonk,2,"TV연등이 아니었다면 안봤을듯..
먼 김선호가 코피노야;;"
박세훈,3,낫뱃. 새롭고 액션이 맛있다
이사과,0.5,"멋있다고 생각하고 만들었겠지
그 점이 최악임"
Eun-Young Kim,1,"총체적 난국
그나마 주연배우 1인의 선방"
uncun,N/A,오로지 김선호.
이상민,2.5,김선호 델꼬 스토리 짜임새 그저 그렇고 중2병 첨가된 영화
김종욱,3.5,"박훈정식 겉멋
- 항마력이 있다면 나름..?"
쩝쩝이,N/A,악불사
파주 시청자,0.5,훈정아
규뱀,3.5,맑눈광의 김선호 배우가 넉살 떨며 말아주는 액션에 매료될 수밖에.
마왕,1.5,"철학 없이 폼만 잡아대니
가볍기 그지없다"
bbukkyubbukkyu,2,아… 나 미치겠네 진짜 ㅋㅋ
BN,3.5,그래도 난 이런 거 좋음 ㅎ
가강,3.5,ㅋㅋㅋㅋㅋ재밌네 초반엔 좀 집중이 안되다가 중후반갈수록 흥미진진해짐
정주영,3,괜찮은 소재인데 전반적으로 아쉽네
이진,3.5,"“내가 누구냐고? 그냥 친구 정도로만 알아두자.”

- 불상사로 인해 한 때 장내를 떠들썩하게 만들었던 김선호의 첫 스크린작이자 복귀작. 결과는 성공적이었다고 본다.

박훈정 감독은 김선호를 필두에 내세워 작품을 만들었지만 왠지 ‘한이사’역의 김강우와 ’마르코‘역의 강태주가 눈에 밟힌다. 주연보다는 탄탄한 조연들의 빛이 발했던 작품. 그리고 나머지 한 명은...

’내가 얘기했었나. 난 단 한번도 타겟을 놓쳐본 적이 없다고. 난 프로거든, 프로.‘"
디귿,2.5,스포일러가 포함되어 내용을 생략했습니다.
권석현,5,"정체불명의 추격자와 광기의 귀공자가 뒤엉킨, 숨 돌릴 틈 없이 몰아치는 박훈정표 액션 누아르 추격극"
아트문,4,솔직히 몰입감 좋게 만들었고 가볍게 볼수있는 팝콘무비로 이정도면 역할 다 하지 않았나 싶다
김민수,3,난 아무래도 이 감독님 영화 남들보다 더 좋아하는것 같다.
윤비,4,김선호 미소 정말 좋았다
Paramount,5,내가 이걸 왜 이렇게 좋아할까
조팝나무라고,3,킬링타임의 표준
여운,3.5,뻔하달까 그래도 꿀떡꿀떡 넘어갔다 난
다다단,3,재밌네 시리즈로 나왔으면
유수민,3,왜 재밌지?
김민지천재,4,"김선호얼굴 설렘
재밌음"
흠。,3.5,"(쿠팡플레이)

솔직히 장르 코미디로 했으면 이렇게까지 욕 안 먹었을 것 같음.."
Uebermensch,2,코미디의 타율이 너무 낮다.
나은,4,"<김선호 매력 차력쇼>

❤️
김선호를 좋아하는 사람이라면.. 김선호의 사이코패스적 연기를 볼 수 있는데 굉장히 섹시하고 매력있다..
화려한 액션과 잔인한 장면을 개그로 잘 버무려놨다.
신인 배우도 연기를 잘 하고! 그냥~ 김선호가~ 좋다;

💔
잔인하다. (하지만 코믹으로 무마되긴 한다)
후속작이 나와야할 것 같은.. 이어지는 내용이 더 필요할 것 같다."
John kwak,2.5,후까시도 풍년이군
유영준,4.5,피 섞이지 않은 두 피코노 친구들의 피 튀기는 만남
건방시오,1.5,"내려놓고 보니 즐겨웠다. ㅆ ㅏ ㅇ

김선호 음... 김강우가 신스틸러

박훈정한데 또 속았다.ㅆ ㅂㅂㅂ"
제이준,4,전반의 루즈함을 잊을만큼 후반에 몰아치는 전개에 적당한 유머가 감미된 김선호의 화려한 스크린데뷔작인 추격 액션 느와르
shin,2,액션은 볼만했다. 그외 시나리오 캐릭터 개연성은 뻔하고 지루했음..
아르캄,3.5,"기대감 없이 맛있게 먹는 국밥과도 같은
늘 본전은 하는 박훈정의 캐릭터 쇼."
몽실,1.5,마녀2보단 낫다
성경나무아미타불떨어진내발등,2,김선호가 잘생겼어요 밖에 기억안남
이상진,2.5,"주인공의 압도적인 강함이 영화를 완성해주는 경우도 있고, 물음표를 줄때도 있다. 아쉽게도 나에게 이 영화는 후자였다. 그러나 강함을 표현하는 기술과 방식은 매력적었다. 특히 악역의 캐릭터와 연기가 그 매력을 돋보이도록 잘 만들어진 것 같았다."
강썸,3.5,아무튼 해피엔딩
두쪽,4,김선호의 화려한 부활
신민주,N/A,"김선호 배우를 좋아해서 봄
그렇기에 별점은 따로 추가하지 않겠다…"
이누리,4,3.5 줄려다 김선호 미소에 4점. 장르는 코미디 액션인듯.
떡하나주면안잡아먹지,2,너 왜 그렇게 웃어?
jj,2.5,무근본영화
김준우,3,박훈정스러운… 매력적인 김선호…
일동,3.5,목숨이 오가는 상황에서도 능글맞은 여유를 잃지 않고 세상을 가볍게 여기는 김선호 배우의 연기가 너무나 프로 다웠다. 그래 프로란 이거지
트러리,4,"김선호와 김강우의 흡입력 있는 연기. 개그코드도 나와 잘 맞다. 마녀에서 본듯한 초능력 물 같은 액션은 조금 실망. 아무리 ""프로""라도..."
구구콘,3,액션이 시원해서 좋다
파르파르,2.5,"배우가 아무리 좋아도 느와르는 완성이 안되나보다
김선호는 너무 좋다"
박혜은,3,김선호 하드캐리 …🫢
FOR_EVER,1,"재벌가의 숨겨진 아이라면 좋겠다는 나의 아이야, 이게 쉬운 일이 아니란다. 넘어야 할   산이 많지?"
ParkDrama,2.5,"돈을 들인듯 안들인듯
한국에서 너무 총질이야"
코난,3,"2025.05.05
영화판에 프레쉬한 배우를 기용해
새로운 장르인 것처럼 만들어 낸 노멀액션"
이미교,3.5,"아니 이렇게 좋은 캐릭터를 한번으로 끝낸다고....
왜 2편, 3편 안나오냐???

ps) 디즈니 플러스의 '폭군'을 먼저 보고 나서 이 영화를 보니, '김선호' 배우의 스타일이 약간 어색하게 느껴질 수 있었다.

김강우 배우의 악역 연기는 진짜 미쳤다. 이야기는 딱히 신선할 게 없지만, 배우들의 연기력으로 모든게 커버된다. ㅎㅎ"
오!,2,애매한 액션 코미디..
감자탕,1.5,"추격씬 결말 개그 다 재미없었음
무료로 봤음에도 후회했던 영화"
라미,3,"주연들 연기도 좋았고 만화같은 구성과 액션도 매력있는데
어떻게 이렇게까지 아쉬울까?"
고민서,3,그냥저냥. 혼합
Uoo,3,"2.7~8점

김선호가 생각보다 연기를 굉장히 잘하는구나
졸라 또라이 같고 괜찮았음
걍 아무 생각없이 보기 괜찮은 액션영화
근데 결말이 너무 별로임 ㅋㅋㅋㅋㅋㅋ
갑자기 신파여 뭐여ㅠ"
강천모,3.5,25년도에 감독도 배우도 모른 상태에서 재밌게 봤다.. 별점 4개줄라고 보니 왓챠가 내 예상 별점이 2.8개라한다. 그래도 모처럼 영화를 재밌게봤으니 별점 4개 찍는다
문정제,2.5,도대체 신세계는 어떻게 찍은걸까..
nasty,2.5,감독의 전작에서 봐왔던 인물들이 나온다
콱씨,2.5,"시간낭비
근데 묘함 박훈정식 좋아하는가봐 나 ..."
졸렬,4,"맛이 날 거 같았는데 향만 맡아진다.
뭔가 감이 잡힐 거 같았는데 손끝에서 흩어진다."
김잘생,3,뭬야 이건 박훈정 잠깐 쉬어가는 페이지인가
황금엉덩이,4,유쾌 상쾌 통쾌
채언,1.5,뭔 내용인지 하나도 모르겠는데 김선호가 연기를 너무 잘해… 걍 눈이 돌아있음.
엠케,2.5,"프론데 프로같지가 않아. 그래서 예능같아.
그런데 이 분위기에 예능이 어울린다고 생각하는거야?
그래도 배우들의 연기력이 너무 수려하여서 이정도 평점은 준다.."
AA,3,저 근데 심장 이식은 가족 아니여도 돼요..
손혁,3,캐릭터의 개발없이 가짜같은 이야기지만 전형적인 갱스터 영화에 인상적인 장면의 순간이 있고 화려한 배우를 보는 맛이 있다.
이용민,2.5,"일본만화 실사화 작품을 보는듯한 기시감과 과장된
모든것"
충분이,2,구멍뚫린 서사의 빈틈을 배우 한명에게 몸빵치는 교만함
최덕훈,2,주인공을 띄우기 위해 조연들을 병풍세우다.
DDLINE,2.5,다른 길을 가는 듯 보이지만 자세히 보면 뱅뱅 돌기만 하는 그.
뉴나,1,반에서 공부만 하던 애가 나 몰래 델꼬 골목길 가서 담배 필 줄 안다며 가오 잡는데 필터부분에 불을 붙이는 걸 본 느낌.....
Ayla,2,"대사 진짜 오글거려서 힘들어요,, 배우들이 커버하는 것도 한계가 있지"
movie runner,2.5,액션이 좀 산만하네
김종원,2.5,영화 자체가 귀공자의 캐릭터와 같다. 깔끔한 미친놈.
ele,3.5,프로의 맛 !
natural_alice,3.5,"곧죽어도 쓰리피스에 섹시한 보조개 어쩔껀데
탑티어 프로, 비주얼 액팅이란 이런 것"
